Rank,Team,Statistic
1,Golden State,0.804
2,Atlanta,0.694
3,Cleveland,0.663
4,Houston,0.657
5,LA Clippers,0.656
6,Memphis,0.656
7,San Antonio,0.652
8,Portland,0.598
9,Chicago,0.596
10,Dallas,0.586
11,Toronto,0.570
12,Washington,0.565
13,Okla City,0.549
14,New Orleans,0.523
15,Milwaukee,0.489
16,Phoenix,0.476
17,Boston,0.465
18,Utah,0.463
18,Indiana,0.463
20,Brooklyn,0.455
21,Miami,0.451
22,Charlotte,0.402
23,Detroit,0.390
24,Denver,0.366
25,Sacramento,0.354
26,Orlando,0.305
27,LA Lakers,0.256
28,Philadelphia,0.220
29,New York,0.207
30,Minnesota,0.195
