Rank,Team,Statistic
1,Chicago,0.725
2,San Antonio,0.716
3,Miami,0.706
3,Dallas,0.706
5,Boston,0.670
6,LA Lakers,0.663
7,Okla City,0.647
8,Orlando,0.614
9,Denver,0.586
10,Portland,0.568
11,Memphis,0.558
12,New Orleans,0.546
13,Atlanta,0.532
14,Houston,0.524
15,New York,0.488
16,Phoenix,0.488
17,Philadelphia,0.483
18,Utah,0.476
19,Golden State,0.439
20,Indiana,0.437
21,Milwaukee,0.427
22,Charlotte,0.415
23,LA Clippers,0.390
24,Detroit,0.366
25,Sacramento,0.293
25,Brooklyn,0.293
27,Washington,0.281
28,Toronto,0.268
29,Cleveland,0.232
30,Minnesota,0.207
