Rank,Team,Statistic
1,Dallas,0.784
2,San Antonio,0.726
3,Phoenix,0.720
4,Detroit,0.643
5,Houston,0.618
6,Cleveland,0.608
7,Utah,0.606
8,Chicago,0.598
9,Toronto,0.557
10,Denver,0.529
11,Miami,0.512
12,Golden State,0.505
13,Brooklyn,0.500
14,LA Lakers,0.494
15,LA Clippers,0.488
16,Washington,0.477
17,New Orleans,0.476
18,Orlando,0.465
19,Philadelphia,0.427
19,Indiana,0.427
21,Charlotte,0.402
21,Sacramento,0.402
21,New York,0.402
24,Portland,0.390
24,Minnesota,0.390
26,Okla City,0.378
27,Atlanta,0.366
28,Milwaukee,0.342
29,Boston,0.293
30,Memphis,0.268
