Rank,Team,Statistic
1,Golden State,0.838
2,San Antonio,0.704
3,Houston,0.656
4,Cleveland,0.640
5,Boston,0.620
6,LA Clippers,0.607
7,Toronto,0.598
8,Utah,0.591
9,Washington,0.590
10,Okla City,0.552
11,Memphis,0.511
11,Atlanta,0.511
13,Miami,0.500
13,Milwaukee,0.500
15,Chicago,0.489
16,Indiana,0.488
17,Denver,0.488
18,Portland,0.477
19,Detroit,0.451
20,Charlotte,0.439
21,New Orleans,0.415
22,Dallas,0.402
23,Sacramento,0.390
24,Minnesota,0.378
24,New York,0.378
26,Orlando,0.354
27,Philadelphia,0.342
28,LA Lakers,0.317
29,Phoenix,0.293
30,Brooklyn,0.244
