Rank,Team,Statistic
1,Miami,0.779
2,San Antonio,0.716
3,Okla City,0.699
4,Denver,0.671
5,Memphis,0.660
6,LA Clippers,0.659
7,New York,0.638
8,Indiana,0.600
9,Brooklyn,0.584
10,Golden State,0.564
11,Houston,0.534
12,Chicago,0.532
13,Utah,0.524
14,LA Lakers,0.523
15,Atlanta,0.523
16,Dallas,0.500
17,Boston,0.494
18,Milwaukee,0.442
19,Philadelphia,0.415
19,Toronto,0.415
21,Portland,0.402
22,Minnesota,0.378
23,Washington,0.354
23,Detroit,0.354
25,Sacramento,0.342
26,New Orleans,0.329
27,Phoenix,0.305
28,Cleveland,0.293
29,Charlotte,0.256
30,Orlando,0.244
