Rank,Team,Statistic
1,Houston,0.768
2,Golden State,0.718
3,Toronto,0.685
4,Boston,0.654
5,Philadelphia,0.620
6,Cleveland,0.596
7,New Orleans,0.582
8,Indiana,0.573
9,Utah,0.570
10,Portland,0.570
11,Okla City,0.568
12,Denver,0.561
13,Minnesota,0.552
13,San Antonio,0.552
15,Milwaukee,0.528
16,Miami,0.517
17,LA Clippers,0.512
18,Washington,0.511
19,Detroit,0.476
20,Charlotte,0.439
21,LA Lakers,0.427
22,New York,0.354
23,Brooklyn,0.342
24,Chicago,0.329
24,Sacramento,0.329
26,Orlando,0.305
27,Atlanta,0.293
27,Dallas,0.293
29,Memphis,0.268
30,Phoenix,0.256
