Rank,Team,Statistic
1,Detroit,0.740
2,San Antonio,0.737
3,Dallas,0.705
4,Miami,0.648
5,Phoenix,0.628
6,Cleveland,0.600
7,Brooklyn,0.581
8,LA Clippers,0.575
9,Memphis,0.570
10,LA Lakers,0.539
11,Sacramento,0.523
12,Denver,0.517
13,Washington,0.500
13,Utah,0.500
15,Indiana,0.489
15,Chicago,0.489
17,Milwaukee,0.471
18,New Orleans,0.463
18,Philadelphia,0.463
20,Orlando,0.439
21,Okla City,0.427
22,Golden State,0.415
22,Houston,0.415
24,Boston,0.402
24,Minnesota,0.402
26,Toronto,0.329
27,Charlotte,0.317
27,Atlanta,0.317
29,New York,0.281
30,Portland,0.256
