Rank,Team,Statistic
1,Cleveland,0.792
2,LA Lakers,0.771
3,Boston,0.719
4,Orlando,0.679
5,Denver,0.653
6,Portland,0.636
7,San Antonio,0.632
8,Houston,0.632
9,Dallas,0.598
10,New Orleans,0.575
11,Utah,0.563
12,Phoenix,0.561
13,Atlanta,0.548
14,Miami,0.517
15,Chicago,0.494
16,Philadelphia,0.489
17,Detroit,0.454
18,Indiana,0.439
19,Charlotte,0.427
20,Milwaukee,0.415
20,Brooklyn,0.415
22,Toronto,0.402
23,New York,0.390
24,Golden State,0.354
25,Minnesota,0.293
25,Memphis,0.293
27,Okla City,0.281
28,LA Clippers,0.232
28,Washington,0.232
30,Sacramento,0.207
