Rank,Team,Statistic
1,San Antonio,0.740
2,Okla City,0.683
3,Miami,0.663
4,LA Clippers,0.663
5,Indiana,0.654
6,Houston,0.636
7,Portland,0.634
8,Golden State,0.607
9,Memphis,0.596
10,Phoenix,0.585
11,Dallas,0.584
12,Toronto,0.573
13,Chicago,0.563
14,Washington,0.538
15,Brooklyn,0.521
16,Charlotte,0.500
17,Minnesota,0.488
18,Atlanta,0.461
19,New York,0.451
20,Denver,0.439
21,New Orleans,0.415
22,Cleveland,0.402
23,Detroit,0.354
24,Sacramento,0.342
25,LA Lakers,0.329
26,Utah,0.305
26,Boston,0.305
28,Orlando,0.281
29,Philadelphia,0.232
30,Milwaukee,0.183
