Rank,Team,Statistic
1,Phoenix,0.747
2,Golden State,0.664
3,Memphis,0.660
4,Miami,0.640
5,Milwaukee,0.617
6,Boston,0.613
7,Dallas,0.610
8,Philadelphia,0.606
9,Utah,0.580
10,Toronto,0.568
11,Denver,0.563
12,Minnesota,0.551
13,Chicago,0.540
14,Cleveland,0.524
15,Charlotte,0.518
16,Brooklyn,0.517
17,Atlanta,0.517
18,LA Clippers,0.500
19,New York,0.451
20,New Orleans,0.444
21,Washington,0.427
22,San Antonio,0.410
23,LA Lakers,0.402
24,Sacramento,0.366
25,Portland,0.329
26,Indiana,0.305
27,Okla City,0.293
28,Detroit,0.281
29,Orlando,0.268
30,Houston,0.244
