Rank,Team,Statistic
1,San Antonio,0.972
2,Chicago,0.976
3,Detroit,0.978
4,Houston,0.997
5,Miami,1.001
6,Brooklyn,1.004
7,Memphis,1.008
8,Denver,1.009
9,Indiana,1.010
10,Philadelphia,1.013
11,Cleveland,1.023
12,Dallas,1.024
13,Boston,1.028
14,LA Clippers,1.032
15,Minnesota,1.033
16,Golden State,1.038
17,Orlando,1.039
18,Washington,1.040
19,Charlotte,1.041
20,New Orleans,1.043
21,Portland,1.044
22,Phoenix,1.048
23,Sacramento,1.052
24,Toronto,1.057
25,New York,1.057
26,Utah,1.058
27,Okla City,1.059
28,Milwaukee,1.061
29,LA Lakers,1.077
30,Atlanta,1.079
