Rank,Team,Statistic
1,Cleveland,1.070
2,Memphis,1.075
3,Boston,1.086
4,Milwaukee,1.090
5,Chicago,1.090
6,New Orleans,1.092
7,Miami,1.095
8,Philadelphia,1.097
9,LA Lakers,1.098
10,Phoenix,1.099
11,Denver,1.101
12,Toronto,1.102
13,Minnesota,1.102
14,New York,1.102
15,Golden State,1.104
16,Okla City,1.106
17,Orlando,1.106
18,Brooklyn,1.107
19,LA Clippers,1.115
20,Charlotte,1.117
21,Washington,1.121
22,Utah,1.128
23,Atlanta,1.129
24,Sacramento,1.129
25,Dallas,1.131
26,Indiana,1.137
27,Detroit,1.149
28,Portland,1.150
29,Houston,1.151
30,San Antonio,1.164
