Rank,Team,Statistic
1,Indiana,0.970
2,Chicago,0.974
3,San Antonio,0.999
4,Golden State,1.002
5,Charlotte,1.009
6,Washington,1.009
7,Okla City,1.013
8,Memphis,1.013
9,Toronto,1.018
10,LA Clippers,1.020
11,Minnesota,1.027
12,Atlanta,1.029
13,Houston,1.031
14,Phoenix,1.032
15,Miami,1.034
16,Cleveland,1.039
17,Boston,1.039
18,Orlando,1.041
19,Portland,1.043
20,Denver,1.045
21,Brooklyn,1.047
22,Sacramento,1.051
23,New York,1.055
24,Dallas,1.056
25,Detroit,1.060
26,Philadelphia,1.063
27,New Orleans,1.064
28,LA Lakers,1.072
29,Utah,1.077
30,Milwaukee,1.079
