Rank,Team,Statistic
1,San Antonio,0.985
2,Memphis,0.996
3,Indiana,0.997
4,Brooklyn,1.002
5,Chicago,1.003
6,Detroit,1.003
7,Houston,1.006
8,LA Clippers,1.012
9,Miami,1.012
10,Minnesota,1.016
11,Denver,1.018
12,Dallas,1.019
13,Cleveland,1.025
14,Sacramento,1.029
15,Golden State,1.030
16,LA Lakers,1.030
17,Charlotte,1.035
18,Utah,1.037
19,New Orleans,1.038
20,Boston,1.038
21,Washington,1.040
22,Orlando,1.043
23,Phoenix,1.043
24,Milwaukee,1.049
25,Philadelphia,1.050
26,New York,1.076
27,Atlanta,1.082
28,Portland,1.087
29,Toronto,1.094
30,Okla City,1.107
