Rank,Team,Statistic
1,Milwaukee,1.019
2,Utah,1.027
3,Indiana,1.033
4,Toronto,1.033
5,Okla City,1.039
6,Boston,1.042
7,Miami,1.042
8,Orlando,1.052
9,Memphis,1.055
10,Denver,1.059
11,Philadelphia,1.061
12,LA Lakers,1.063
13,Detroit,1.063
14,Brooklyn,1.065
15,Houston,1.066
16,Golden State,1.066
17,Portland,1.071
18,Dallas,1.072
19,Sacramento,1.082
20,San Antonio,1.083
21,LA Clippers,1.086
22,Charlotte,1.090
23,Minnesota,1.092
24,New Orleans,1.093
25,Chicago,1.101
26,New York,1.101
27,Atlanta,1.102
28,Washington,1.105
29,Phoenix,1.114
30,Cleveland,1.141
