Rank,Team,Statistic
1,Golden State,1.009
2,San Antonio,1.017
3,Atlanta,1.025
4,Utah,1.029
5,Miami,1.033
6,Chicago,1.039
7,Detroit,1.041
8,Okla City,1.042
9,Memphis,1.042
10,New Orleans,1.044
11,Toronto,1.045
12,LA Clippers,1.051
13,Charlotte,1.054
14,Philadelphia,1.054
15,Houston,1.055
16,Milwaukee,1.056
17,Dallas,1.058
18,Boston,1.058
19,Indiana,1.059
20,Washington,1.060
21,Orlando,1.071
22,Cleveland,1.072
23,Brooklyn,1.073
24,Portland,1.074
25,New York,1.077
26,Sacramento,1.079
27,Minnesota,1.082
28,Phoenix,1.083
29,Denver,1.092
30,LA Lakers,1.095
