Rank,Team,Statistic
1,San Antonio,0.964
2,Atlanta,0.986
3,Indiana,0.996
4,Boston,0.998
5,Utah,1.006
6,LA Clippers,1.006
7,Miami,1.007
8,Golden State,1.010
9,Cleveland,1.015
10,Charlotte,1.015
11,Toronto,1.020
12,Okla City,1.020
13,Washington,1.027
14,Detroit,1.027
15,Chicago,1.030
16,Orlando,1.036
17,New York,1.040
18,Memphis,1.045
19,Dallas,1.046
20,Houston,1.047
21,Portland,1.048
22,Sacramento,1.051
23,Milwaukee,1.052
24,Denver,1.052
25,Phoenix,1.056
26,Philadelphia,1.058
27,New Orleans,1.063
28,Minnesota,1.065
29,Brooklyn,1.077
30,LA Lakers,1.079
