Rank,Team,Statistic
1,Indiana,0.969
2,Memphis,0.971
3,San Antonio,0.984
4,Okla City,0.991
5,Washington,0.997
6,Boston,0.998
7,Miami,1.002
8,Chicago,1.002
9,LA Clippers,1.006
10,Atlanta,1.013
11,Denver,1.017
12,Milwaukee,1.018
13,New York,1.019
14,Minnesota,1.019
15,Golden State,1.022
16,Philadelphia,1.023
17,Brooklyn,1.024
18,Houston,1.028
19,Utah,1.031
20,Dallas,1.033
21,LA Lakers,1.034
22,Toronto,1.037
23,Phoenix,1.045
24,Detroit,1.045
25,Cleveland,1.054
26,Portland,1.057
27,Orlando,1.057
28,New Orleans,1.064
29,Sacramento,1.074
30,Charlotte,1.075
