Rank,Team,Statistic
1,Golden State,0.980
2,Milwaukee,0.990
3,Memphis,0.992
4,San Antonio,0.994
5,Washington,0.995
6,Indiana,0.999
7,Atlanta,1.000
8,Charlotte,1.002
9,Chicago,1.002
10,Houston,1.008
11,Portland,1.008
12,Philadelphia,1.012
13,Utah,1.013
14,Boston,1.013
15,Okla City,1.018
16,Cleveland,1.020
17,LA Clippers,1.023
18,Phoenix,1.028
19,Detroit,1.029
20,Miami,1.031
21,Dallas,1.034
22,Brooklyn,1.041
23,New Orleans,1.042
24,Toronto,1.042
25,Denver,1.044
26,Orlando,1.046
27,Sacramento,1.054
28,New York,1.062
29,LA Lakers,1.070
30,Minnesota,1.083
