Rank,Team,Statistic
1,Boston,1.036
2,Golden State,1.042
3,Memphis,1.052
4,Miami,1.052
5,Phoenix,1.053
6,Cleveland,1.065
7,LA Clippers,1.069
8,New York,1.070
9,Dallas,1.070
10,Utah,1.073
11,Toronto,1.074
12,Milwaukee,1.075
13,Philadelphia,1.076
14,Minnesota,1.080
15,San Antonio,1.090
16,Orlando,1.092
17,Brooklyn,1.093
18,Okla City,1.095
19,Denver,1.095
20,New Orleans,1.097
21,LA Lakers,1.100
22,Detroit,1.101
23,Chicago,1.102
24,Charlotte,1.105
25,Washington,1.111
26,Atlanta,1.112
27,Sacramento,1.119
28,Indiana,1.124
29,Houston,1.131
30,Portland,1.132
