Rank,Team,Statistic
1,Chicago,0.947
2,Boston,0.953
3,Philadelphia,0.960
4,Miami,0.969
5,Atlanta,0.976
6,Memphis,0.980
7,New York,0.981
8,Indiana,0.989
9,Dallas,0.995
10,Okla City,1.001
11,San Antonio,1.002
12,Toronto,1.009
13,Orlando,1.010
14,Milwaukee,1.014
15,New Orleans,1.015
16,Houston,1.015
17,LA Lakers,1.017
18,LA Clippers,1.019
19,Washington,1.025
20,Denver,1.026
21,Detroit,1.026
22,Utah,1.027
23,Portland,1.027
24,Minnesota,1.028
25,Phoenix,1.030
26,Cleveland,1.049
27,Golden State,1.055
28,Brooklyn,1.056
29,Sacramento,1.059
30,Charlotte,1.065
