Rank,Team,Statistic
1,San Antonio,0.921
2,Detroit,0.921
3,Indiana,0.941
4,Brooklyn,0.949
5,Houston,0.964
6,Minnesota,0.971
7,Toronto,0.978
8,Miami,0.980
9,LA Lakers,0.981
10,New Orleans,0.990
11,Philadelphia,0.991
12,Memphis,0.996
13,Denver,0.997
14,Utah,1.000
15,New York,1.002
16,Chicago,1.005
17,Boston,1.009
18,Golden State,1.010
19,Cleveland,1.010
20,Sacramento,1.013
21,Washington,1.017
22,Portland,1.022
23,Phoenix,1.024
24,Milwaukee,1.024
25,Atlanta,1.030
26,Dallas,1.041
27,Okla City,1.046
28,LA Clippers,1.050
29,Orlando,1.069
