Rank,Team,Statistic
1,Chicago,0.969
2,Boston,0.976
3,Orlando,0.987
4,Milwaukee,0.994
5,Miami,1.001
6,LA Lakers,1.013
7,Memphis,1.017
8,Philadelphia,1.021
9,Dallas,1.022
10,San Antonio,1.024
11,Indiana,1.025
12,New Orleans,1.026
13,Okla City,1.035
14,Atlanta,1.036
15,Portland,1.038
16,Denver,1.039
17,Charlotte,1.044
18,LA Clippers,1.050
19,Houston,1.053
20,Sacramento,1.054
21,Utah,1.063
22,New York,1.063
23,Brooklyn,1.064
24,Washington,1.064
25,Phoenix,1.070
26,Golden State,1.071
27,Minnesota,1.073
28,Detroit,1.081
29,Cleveland,1.083
30,Toronto,1.091
