Rank,Team,Statistic
1,Milwaukee,0.992
2,Toronto,1.019
3,LA Lakers,1.024
4,Boston,1.033
5,LA Clippers,1.038
6,Philadelphia,1.049
7,Indiana,1.051
8,Brooklyn,1.052
9,Orlando,1.058
10,Okla City,1.059
11,Denver,1.061
12,Miami,1.061
13,Utah,1.062
14,Chicago,1.065
15,Houston,1.066
16,Memphis,1.071
17,Dallas,1.073
18,New Orleans,1.081
19,Sacramento,1.082
20,Phoenix,1.084
21,Minnesota,1.087
22,Detroit,1.092
23,New York,1.094
24,Charlotte,1.099
25,Golden State,1.103
26,Portland,1.104
27,San Antonio,1.105
28,Atlanta,1.111
29,Washington,1.121
30,Cleveland,1.121
