Rank,Team,Statistic
1,Chicago,0.971
2,San Antonio,0.978
3,Houston,0.981
4,Cleveland,0.991
5,Detroit,1.007
6,Dallas,1.011
7,Orlando,1.016
8,Indiana,1.024
9,LA Clippers,1.026
10,Denver,1.027
11,Brooklyn,1.029
12,Toronto,1.033
13,Utah,1.034
14,Miami,1.034
15,New Orleans,1.036
16,Phoenix,1.038
17,Philadelphia,1.038
18,Boston,1.039
19,Charlotte,1.043
20,Golden State,1.045
21,Minnesota,1.048
22,Sacramento,1.048
23,Atlanta,1.050
24,LA Lakers,1.057
25,Portland,1.065
26,New York,1.068
27,Washington,1.073
28,Okla City,1.073
29,Milwaukee,1.085
30,Memphis,1.092
