Rank,Team,Statistic
1,Orlando,1.003
2,Charlotte,1.004
3,Boston,1.007
4,Milwaukee,1.008
5,Miami,1.015
6,LA Lakers,1.017
7,Okla City,1.017
8,Cleveland,1.018
9,San Antonio,1.022
10,Chicago,1.029
11,Utah,1.034
12,Dallas,1.036
13,Indiana,1.041
14,Atlanta,1.044
15,Denver,1.047
16,Portland,1.047
17,Houston,1.050
18,Washington,1.065
19,Memphis,1.067
20,Sacramento,1.069
21,LA Clippers,1.072
22,Phoenix,1.073
23,New Orleans,1.074
24,Philadelphia,1.075
25,Brooklyn,1.078
26,Detroit,1.082
27,Golden State,1.086
28,Minnesota,1.087
29,New York,1.088
30,Toronto,1.100
