Rank,Team,Statistic
1,Minnesota,1.054
2,Orlando,1.078
3,Boston,1.081
4,Cleveland,1.085
5,Okla City,1.089
6,New Orleans,1.090
7,New York,1.091
8,Houston,1.092
9,Miami,1.096
10,Denver,1.102
11,Memphis,1.103
12,Philadelphia,1.106
13,Phoenix,1.114
14,LA Clippers,1.121
15,Sacramento,1.123
16,LA Lakers,1.124
17,Golden State,1.124
18,Milwaukee,1.125
19,Brooklyn,1.127
20,Chicago,1.128
21,Dallas,1.131
22,Portland,1.135
23,San Antonio,1.141
24,Toronto,1.144
25,Indiana,1.146
26,Atlanta,1.157
27,Detroit,1.157
28,Charlotte,1.160
29,Utah,1.163
30,Washington,1.167
