Rank,Team,Statistic
1,Boston,0.970
2,Houston,0.989
3,San Antonio,0.998
4,Detroit,1.001
5,LA Lakers,1.028
6,Cleveland,1.028
7,Orlando,1.029
8,Philadelphia,1.030
9,New Orleans,1.032
10,Utah,1.036
11,Denver,1.036
12,Dallas,1.038
13,Chicago,1.039
14,Indiana,1.045
15,Toronto,1.047
16,Portland,1.051
17,Phoenix,1.051
18,Atlanta,1.060
18,LA Clippers,1.060
20,Washington,1.062
21,Brooklyn,1.062
22,Golden State,1.063
23,Okla City,1.064
24,Charlotte,1.065
25,Sacramento,1.066
26,Miami,1.071
27,Minnesota,1.080
28,New York,1.086
29,Memphis,1.086
30,Milwaukee,1.093
