Rank,Team,Statistic
1,Utah,1.013
2,Boston,1.014
3,Philadelphia,1.018
4,San Antonio,1.022
5,Houston,1.032
6,Portland,1.036
7,Toronto,1.036
8,Miami,1.036
9,Golden State,1.037
10,Okla City,1.037
11,Detroit,1.042
12,Indiana,1.047
13,LA Lakers,1.048
14,New Orleans,1.053
15,Washington,1.056
16,Charlotte,1.060
17,Dallas,1.066
18,Milwaukee,1.067
19,LA Clippers,1.068
20,Orlando,1.069
21,New York,1.072
22,Atlanta,1.072
23,Brooklyn,1.074
24,Memphis,1.074
25,Denver,1.076
26,Sacramento,1.079
27,Minnesota,1.079
28,Chicago,1.079
29,Cleveland,1.085
30,Phoenix,1.093
