Rank,Team,Statistic
1,Cleveland,0.994
2,Orlando,0.998
3,Boston,1.001
4,LA Lakers,1.013
5,Houston,1.014
6,San Antonio,1.023
7,Charlotte,1.030
8,Denver,1.035
9,Utah,1.044
10,Miami,1.044
11,Milwaukee,1.045
12,Philadelphia,1.046
13,Portland,1.047
14,Atlanta,1.049
15,Detroit,1.050
16,New Orleans,1.051
17,Chicago,1.055
18,Dallas,1.059
19,Indiana,1.062
20,Okla City,1.062
21,Toronto,1.069
22,Memphis,1.074
23,Brooklyn,1.078
24,New York,1.079
25,Minnesota,1.081
26,Phoenix,1.084
27,LA Clippers,1.085
28,Golden State,1.095
29,Washington,1.103
30,Sacramento,1.120
