Rank,Team,Statistic
1,Golden State,9.6
2,LA Clippers,5.8
3,San Antonio,5.7
4,Atlanta,4.5
5,Cleveland,4.5
6,Portland,3.6
7,Chicago,3.1
8,Memphis,2.7
9,Dallas,2.5
10,Houston,2.4
11,Toronto,2.3
12,Okla City,2.2
13,Washington,1.1
14,New Orleans,0.4
15,Indiana,0.3
16,Utah,0.2
17,Boston,-0.3
18,Milwaukee,-0.4
19,Phoenix,-0.9
20,Detroit,-1.0
21,Miami,-2.6
22,Brooklyn,-3.1
23,Charlotte,-3.2
24,Denver,-3.5
25,Sacramento,-3.7
26,Orlando,-5.7
27,LA Lakers,-6.8
28,Minnesota,-8.8
29,Philadelphia,-9.0
30,New York,-9.3
