Rank,Team,Statistic
1,Boston,5.9
2,Cleveland,4.8
3,Denver,4.3
4,Philadelphia,3.6
5,Memphis,3.2
6,Milwaukee,3.1
7,New York,2.6
8,Sacramento,2.3
9,New Orleans,1.8
10,Phoenix,1.6
11,Golden State,1.5
12,Toronto,1.4
13,Chicago,1.2
14,LA Lakers,0.9
15,Okla City,0.8
16,Brooklyn,0.3
17,LA Clippers,0.1
18,Miami,0.1
19,Dallas,0.1
20,Atlanta,0.0
21,Minnesota,-0.3
22,Utah,-0.9
23,Washington,-1.2
24,Orlando,-2.6
25,Indiana,-3.2
26,Portland,-4.0
27,Charlotte,-6.2
28,Houston,-7.9
29,Detroit,-8.2
30,San Antonio,-10.0
