Rank,Team,Statistic
1,Boston,6.4
2,Phoenix,6.3
3,Golden State,5.4
4,Memphis,5.3
5,Utah,5.2
6,Miami,4.3
7,Milwaukee,3.1
8,Dallas,2.8
9,Philadelphia,2.3
10,Minnesota,2.1
11,Cleveland,1.9
12,Denver,1.7
13,Toronto,1.6
14,Atlanta,1.2
15,Brooklyn,0.6
16,Charlotte,0.1
17,San Antonio,0.0
18,LA Clippers,-0.1
19,New York,-0.1
20,New Orleans,-0.8
21,Chicago,-1.2
22,LA Lakers,-3.0
23,Washington,-3.4
24,Indiana,-3.5
25,Sacramento,-5.5
26,Detroit,-7.7
27,Orlando,-8.0
28,Okla City,-8.1
29,Houston,-8.5
30,Portland,-8.9
