Rank,Team,Statistic
1,Utah,7.9
2,LA Clippers,6.1
3,Philadelphia,5.9
4,Milwaukee,5.8
5,Phoenix,5.8
6,Brooklyn,4.8
7,Denver,3.7
8,LA Lakers,2.1
9,Atlanta,1.8
10,New York,1.7
11,Dallas,1.6
12,Portland,1.6
13,Golden State,0.9
14,Boston,0.9
15,Memphis,0.5
16,Indiana,0.0
17,New Orleans,-0.3
18,Toronto,-0.5
19,Chicago,-0.9
20,Miami,-1.1
21,San Antonio,-1.8
22,Charlotte,-2.3
23,Washington,-2.4
24,Sacramento,-3.7
25,Detroit,-4.5
26,Minnesota,-5.6
27,Houston,-7.9
28,Cleveland,-8.4
29,Orlando,-9.3
30,Okla City,-10.6
