Rank,Team,Statistic
1,Boston,11.7
2,Okla City,7.4
3,Minnesota,6.6
4,New Orleans,5.3
5,Denver,4.5
6,New York,4.0
7,LA Clippers,3.8
8,Milwaukee,3.7
9,Cleveland,3.1
10,Phoenix,3.0
11,Philadelphia,2.3
12,Orlando,2.1
13,Indiana,1.9
14,Houston,1.6
14,Dallas,1.6
16,Golden State,1.5
17,Sacramento,1.4
18,Miami,0.7
19,LA Lakers,0.3
20,Atlanta,-1.6
21,Chicago,-1.8
22,Brooklyn,-2.7
23,Utah,-4.1
24,Toronto,-5.0
25,Memphis,-6.6
26,San Antonio,-7.6
27,Portland,-8.1
28,Detroit,-8.8
29,Washington,-9.9
30,Charlotte,-10.5
