Rank,Team,Statistic
1,Orlando,7.7
2,Cleveland,5.9
3,Phoenix,4.9
4,LA Lakers,4.5
5,Utah,4.5
6,San Antonio,4.2
7,Denver,3.7
8,Boston,3.5
9,Atlanta,3.3
10,Okla City,3.1
11,Dallas,2.5
12,Portland,2.4
13,Miami,1.7
14,Milwaukee,1.3
15,Charlotte,1.0
16,Houston,-0.4
17,Memphis,-1.5
18,Toronto,-1.8
19,Chicago,-2.1
20,New Orleans,-2.5
21,Indiana,-3.0
22,Golden State,-3.6
23,New York,-3.8
24,Philadelphia,-3.9
25,Sacramento,-4.5
26,Washington,-4.8
27,Detroit,-5.1
28,LA Clippers,-6.4
29,Brooklyn,-9.1
30,Minnesota,-9.6
