Rank,Team,Statistic
1,San Antonio,6.2
2,Detroit,6.0
3,Dallas,5.6
4,Phoenix,4.7
5,Miami,3.8
6,Memphis,2.9
7,LA Clippers,1.9
8,LA Lakers,1.8
9,Washington,1.7
10,Indiana,1.5
11,Cleveland,1.5
12,Brooklyn,1.1
13,Sacramento,0.8
14,Chicago,0.4
15,Denver,-0.2
16,Orlando,-1.1
17,Golden State,-1.4
18,Milwaukee,-1.5
19,Boston,-1.5
20,Houston,-1.6
21,Minnesota,-1.9
22,Philadelphia,-2.0
23,Utah,-2.6
24,New Orleans,-2.8
25,Toronto,-3.0
26,Okla City,-3.0
27,Charlotte,-4.0
28,Atlanta,-4.8
29,New York,-6.4
30,Portland,-9.5
