Rank,Team,Statistic
1,Houston,7.3
2,Golden State,6.8
3,Toronto,6.5
4,Philadelphia,4.4
5,Utah,3.5
6,Boston,3.0
7,Okla City,2.9
8,San Antonio,2.2
9,Portland,2.1
10,Indiana,1.7
11,Minnesota,1.6
12,Denver,1.5
13,New Orleans,1.1
14,Washington,0.4
15,Cleveland,0.4
16,Charlotte,0.3
17,LA Clippers,0.0
18,Detroit,-0.1
19,Miami,-0.2
20,Milwaukee,-0.3
21,LA Lakers,-1.5
22,Dallas,-3.0
23,New York,-3.6
24,Brooklyn,-3.7
25,Orlando,-4.8
26,Atlanta,-5.5
27,Memphis,-6.2
28,Sacramento,-7.0
29,Chicago,-7.0
30,Phoenix,-9.4
