Rank,Team,Statistic
1,San Antonio,8.0
2,LA Clippers,6.3
3,Okla City,5.0
4,Miami,4.4
5,Houston,4.3
6,Golden State,4.1
7,Indiana,3.4
8,Toronto,2.9
9,Portland,2.8
10,Minnesota,2.7
11,Phoenix,2.6
12,Dallas,2.1
13,Chicago,1.5
14,Washington,1.2
15,Memphis,1.0
16,Atlanta,-0.5
17,Charlotte,-0.7
18,New York,-0.8
19,Brooklyn,-1.0
20,Denver,-2.1
21,New Orleans,-2.7
22,Sacramento,-2.9
23,Cleveland,-3.3
24,Detroit,-3.7
25,Boston,-4.5
26,Orlando,-5.4
27,LA Lakers,-6.3
28,Utah,-7.2
29,Milwaukee,-8.2
30,Philadelphia,-10.5
