Rank,Team,Statistic
1,Boston,9.0
2,Detroit,6.5
3,LA Lakers,6.2
4,Utah,6.0
5,New Orleans,5.1
6,Orlando,5.0
7,Phoenix,4.6
8,Houston,4.2
9,San Antonio,3.8
10,Dallas,3.8
11,Denver,2.9
12,Toronto,2.5
13,Golden State,2.2
14,Cleveland,0.0
15,Philadelphia,-0.1
16,Washington,-0.5
17,Portland,-1.0
18,Indiana,-1.4
19,Sacramento,-2.3
20,Atlanta,-2.6
21,Chicago,-3.1
22,Charlotte,-4.4
23,Brooklyn,-5.1
24,Memphis,-6.2
25,New York,-6.6
26,Minnesota,-6.8
27,Milwaukee,-6.9
28,LA Clippers,-7.3
29,Miami,-8.6
30,Okla City,-8.8
