Rank,Team,Statistic
1,Cleveland,8.9
2,LA Lakers,7.6
3,Boston,6.4
4,Orlando,5.6
5,Portland,4.6
6,Denver,4.3
7,Houston,3.3
8,San Antonio,3.2
9,Utah,2.0
10,Phoenix,1.9
11,Dallas,1.7
12,Atlanta,0.5
13,Miami,0.3
14,New Orleans,0.1
15,Philadelphia,-0.5
16,Chicago,-0.6
17,Milwaukee,-1.1
18,Indiana,-1.1
19,Detroit,-1.2
20,Charlotte,-1.3
21,Brooklyn,-2.4
22,New York,-2.6
23,Toronto,-2.8
24,Golden State,-3.7
25,Minnesota,-4.9
26,Memphis,-5.5
27,Okla City,-6.1
28,Washington,-7.5
29,Sacramento,-8.8
30,LA Clippers,-8.8
