Rank,Team,Statistic
1,Chicago,7.4
2,San Antonio,7.0
3,Miami,6.2
4,Okla City,5.9
5,Philadelphia,3.3
6,Indiana,3.0
7,Atlanta,2.8
8,Denver,2.6
9,Boston,2.2
10,New York,2.0
11,Memphis,1.9
12,LA Clippers,1.5
13,LA Lakers,0.6
14,Dallas,0.5
15,Milwaukee,0.3
16,Houston,0.2
17,Orlando,0.0
18,Phoenix,-0.2
19,Utah,-0.3
20,Portland,-0.6
21,Minnesota,-2.2
22,Toronto,-3.3
23,Golden State,-3.4
24,New Orleans,-3.8
25,Detroit,-4.8
26,Washington,-4.8
27,Sacramento,-5.7
28,Brooklyn,-6.0
29,Cleveland,-7.2
30,Charlotte,-13.9
