Rank,Team,Statistic
1,Milwaukee,8.9
2,Toronto,5.9
3,Golden State,5.8
4,Houston,4.6
5,Utah,4.4
6,Boston,3.9
7,Denver,3.6
8,Portland,3.3
9,Okla City,2.9
10,Indiana,2.8
11,Philadelphia,2.7
12,San Antonio,1.4
13,LA Clippers,0.1
14,Orlando,-0.2
15,Miami,-0.2
16,Brooklyn,-0.7
17,Charlotte,-1.1
18,Sacramento,-1.1
19,Dallas,-1.3
20,New Orleans,-1.3
21,Detroit,-1.3
22,Minnesota,-1.5
23,LA Lakers,-1.7
24,Memphis,-2.6
25,Washington,-2.9
26,Atlanta,-6.0
27,Chicago,-8.4
28,New York,-9.2
29,Phoenix,-9.3
30,Cleveland,-9.6
