Rank,Team,Statistic
1,Okla City,8.3
2,Miami,7.6
3,San Antonio,6.7
4,LA Clippers,5.6
5,Denver,4.5
6,New York,4.0
7,Memphis,3.6
8,Indiana,3.3
9,Houston,2.8
10,Brooklyn,1.8
11,Golden State,0.8
12,LA Lakers,0.2
13,Atlanta,0.0
14,Utah,-0.1
15,Chicago,-0.6
16,Boston,-0.6
17,Dallas,-0.6
18,Toronto,-1.5
19,Milwaukee,-2.1
20,Minnesota,-2.4
21,Washington,-2.5
22,Portland,-3.2
23,Philadelphia,-3.3
24,New Orleans,-3.9
25,Detroit,-4.0
26,Cleveland,-4.7
27,Sacramento,-4.9
28,Phoenix,-6.5
29,Orlando,-7.0
30,Charlotte,-9.2
