Rank,Team,Statistic
1,Golden State,12.0
2,San Antonio,6.2
3,Houston,5.2
4,Cleveland,4.0
5,LA Clippers,3.9
6,Toronto,3.1
7,Utah,2.9
8,Boston,1.6
9,Washington,1.6
10,Miami,1.1
11,Denver,0.5
12,Okla City,0.2
13,Charlotte,0.2
14,Chicago,-0.1
15,Memphis,-0.1
16,Milwaukee,-0.2
17,Indiana,-0.4
18,Atlanta,-0.9
19,Minnesota,-1.1
20,Detroit,-1.1
21,Portland,-1.3
22,New Orleans,-2.1
23,Dallas,-2.9
24,New York,-3.7
25,Sacramento,-3.9
26,Phoenix,-5.6
27,Philadelphia,-5.7
28,Orlando,-6.6
29,Brooklyn,-6.7
30,LA Lakers,-6.9
