Rank,Team,Statistic
1,Milwaukee,11.3
2,LA Lakers,7.4
3,LA Clippers,6.5
4,Toronto,6.5
5,Boston,6.2
6,Dallas,6.0
7,Houston,3.8
8,Miami,3.2
9,Utah,3.2
10,Denver,3.0
11,Okla City,2.5
12,Philadelphia,2.2
13,Indiana,1.9
14,Brooklyn,-0.6
15,New Orleans,-0.8
16,Orlando,-1.0
17,Memphis,-1.1
18,Phoenix,-1.4
19,Portland,-1.6
20,San Antonio,-1.8
21,Sacramento,-1.9
22,Chicago,-3.1
23,Detroit,-3.6
24,Washington,-4.0
25,Minnesota,-4.3
26,New York,-6.5
27,Charlotte,-6.8
28,Cleveland,-7.9
29,Atlanta,-8.0
30,Golden State,-8.7
