Rank,Team,Statistic
1,San Antonio,7.0
2,Phoenix,6.7
3,Miami,6.2
4,Dallas,4.7
5,Detroit,4.1
6,Houston,3.5
7,Okla City,1.8
8,Sacramento,1.8
9,Memphis,1.7
10,Minnesota,1.5
11,Denver,1.3
12,Chicago,0.9
13,Cleveland,0.8
14,Boston,0.8
15,Indiana,0.3
16,Washington,-0.6
17,LA Clippers,-0.8
18,Philadelphia,-1.2
19,Toronto,-1.6
20,Brooklyn,-2.0
21,Golden State,-2.2
22,Orlando,-2.2
23,New York,-2.4
24,LA Lakers,-3.0
25,Milwaukee,-3.0
26,Portland,-4.0
27,Utah,-4.3
28,Charlotte,-6.0
29,New Orleans,-7.1
30,Atlanta,-9.7
