Rank,Team,Statistic
1,San Antonio,10.5
2,Golden State,9.3
3,Okla City,6.9
4,Cleveland,6.5
5,LA Clippers,4.1
6,Atlanta,3.1
7,Toronto,2.8
8,Boston,2.5
9,Miami,1.9
10,Charlotte,1.8
11,Utah,1.8
12,Indiana,1.7
13,Portland,0.4
14,Detroit,0.2
15,Washington,-0.5
16,Houston,-0.9
17,Dallas,-1.3
18,Chicago,-1.5
19,Orlando,-1.6
20,Sacramento,-2.5
21,New York,-2.7
22,Denver,-3.1
23,Memphis,-3.2
24,Minnesota,-3.5
25,New Orleans,-3.8
26,Milwaukee,-4.2
27,Phoenix,-6.7
28,Brooklyn,-7.4
29,LA Lakers,-9.6
30,Philadelphia,-10.2
