Rank,Team,Statistic
1,San Antonio,7.5
2,Phoenix,7.0
3,Dallas,6.3
4,Chicago,4.6
5,Houston,4.2
6,Detroit,4.0
7,Cleveland,3.5
8,Utah,2.5
9,Denver,1.2
10,Toronto,0.6
11,Orlando,0.3
12,Golden State,-0.1
13,Brooklyn,-0.4
14,LA Clippers,-0.5
15,LA Lakers,-0.7
16,Washington,-0.9
17,Miami,-1.4
18,New Orleans,-1.6
19,Sacramento,-1.8
20,Indiana,-2.4
21,New York,-2.9
22,Okla City,-2.9
23,Philadelphia,-3.0
24,Boston,-3.4
25,Minnesota,-3.7
26,Charlotte,-3.7
27,Portland,-4.3
28,Milwaukee,-4.4
29,Atlanta,-4.8
30,Memphis,-5.1
