Rank,Team,Statistic
1,Golden State,0.486
2,Miami,0.496
3,Utah,0.49700000000000005
4,San Antonio,0.5
5,Atlanta,0.506
6,Boston,0.508
7,LA Clippers,0.508
8,Memphis,0.509
9,Chicago,0.509
10,New Orleans,0.509
11,Toronto,0.51
12,Portland,0.511
13,New York,0.511
14,Okla City,0.511
15,Philadelphia,0.512
16,Brooklyn,0.513
17,Indiana,0.515
18,Detroit,0.516
19,Milwaukee,0.517
20,Cleveland,0.517
21,Houston,0.517
22,Orlando,0.523
23,Charlotte,0.523
24,Washington,0.524
25,Phoenix,0.525
26,Sacramento,0.528
27,Dallas,0.529
28,Denver,0.532
29,Minnesota,0.535
30,LA Lakers,0.542
