Rank,Team,Statistic
1,Indiana,0.457
2,Okla City,0.469
3,Memphis,0.478
4,San Antonio,0.478
5,Chicago,0.48
6,Boston,0.48100000000000004
7,Washington,0.483
8,Golden State,0.486
9,Miami,0.486
10,LA Clippers,0.49200000000000005
11,Dallas,0.49200000000000005
12,Atlanta,0.493
13,Milwaukee,0.494
14,Philadelphia,0.495
15,Denver,0.49700000000000005
16,LA Lakers,0.49700000000000005
17,Toronto,0.5
18,Utah,0.501
19,Houston,0.502
20,Brooklyn,0.502
21,New York,0.504
22,Detroit,0.505
23,Orlando,0.508
24,Minnesota,0.511
25,Phoenix,0.512
26,Portland,0.512
27,Sacramento,0.517
28,New Orleans,0.52
29,Cleveland,0.523
30,Charlotte,0.524
