Rank,Team,Statistic
1,Boston,0.45899999999999996
2,Houston,0.466
3,Detroit,0.47100000000000003
4,Dallas,0.47700000000000004
5,San Antonio,0.478
6,Orlando,0.48200000000000004
7,LA Lakers,0.483
8,Phoenix,0.488
9,Cleveland,0.49
10,Portland,0.491
11,Chicago,0.496
12,Brooklyn,0.49700000000000005
13,Indiana,0.498
14,New Orleans,0.499
15,Utah,0.5
16,Denver,0.501
17,Atlanta,0.501
18,Okla City,0.503
19,LA Clippers,0.503
20,Charlotte,0.505
21,Philadelphia,0.505
22,Toronto,0.506
23,Golden State,0.509
24,Miami,0.51
25,Sacramento,0.51
26,Washington,0.512
27,Minnesota,0.513
28,New York,0.518
29,Memphis,0.521
30,Milwaukee,0.524
