Rank,Team,Statistic
1,Chicago,0.44799999999999995
2,Boston,0.455
3,Philadelphia,0.46
4,Okla City,0.469
5,Toronto,0.475
6,Indiana,0.475
7,LA Lakers,0.475
8,Miami,0.47600000000000003
9,Atlanta,0.478
10,Dallas,0.48100000000000004
11,New Orleans,0.485
12,Memphis,0.485
13,New York,0.486
14,Orlando,0.48700000000000004
15,San Antonio,0.48700000000000004
16,Milwaukee,0.489
17,Houston,0.49
18,Minnesota,0.491
19,Phoenix,0.491
20,LA Clippers,0.49200000000000005
21,Washington,0.49200000000000005
22,Utah,0.495
23,Golden State,0.496
24,Detroit,0.5
25,Denver,0.503
26,Portland,0.504
27,Cleveland,0.508
28,Charlotte,0.512
29,Brooklyn,0.513
30,Sacramento,0.515
