Rank,Team,Statistic
1,San Antonio,0.461
2,Indiana,0.465
3,Chicago,0.467
4,Memphis,0.47
5,LA Clippers,0.47200000000000003
6,Houston,0.47200000000000003
7,Minnesota,0.475
8,Miami,0.47600000000000003
9,Detroit,0.48
10,Brooklyn,0.48100000000000004
11,Dallas,0.48200000000000004
12,Cleveland,0.489
13,Utah,0.49
14,Orlando,0.49
15,Boston,0.49
16,LA Lakers,0.491
17,Golden State,0.49200000000000005
18,Denver,0.493
19,Sacramento,0.493
20,Phoenix,0.493
21,Philadelphia,0.5
22,New Orleans,0.502
23,Washington,0.503
24,Milwaukee,0.506
25,Portland,0.507
26,New York,0.511
27,Atlanta,0.513
28,Charlotte,0.514
29,Okla City,0.527
30,Toronto,0.53
