Rank,Team,Statistic
1,Boston,0.501
2,Golden State,0.512
3,Phoenix,0.514
4,LA Clippers,0.514
5,Cleveland,0.521
6,New York,0.521
7,Utah,0.522
8,Philadelphia,0.522
9,Brooklyn,0.522
10,Miami,0.523
11,Memphis,0.524
12,Dallas,0.524
13,Washington,0.529
14,Milwaukee,0.532
15,Orlando,0.532
16,San Antonio,0.5329999999999999
17,Okla City,0.5329999999999999
18,Minnesota,0.534
19,Toronto,0.5379999999999999
20,LA Lakers,0.54
21,Detroit,0.541
22,Denver,0.541
23,Chicago,0.541
24,Atlanta,0.542
25,Charlotte,0.545
26,New Orleans,0.547
27,Sacramento,0.551
28,Indiana,0.552
29,Houston,0.5539999999999999
30,Portland,0.5589999999999999
