Rank,Team,Statistic
1,Houston,0.466
2,San Antonio,0.47100000000000003
3,Chicago,0.473
4,Detroit,0.475
5,Cleveland,0.47600000000000003
6,Orlando,0.48
7,Dallas,0.48100000000000004
8,Miami,0.485
9,Brooklyn,0.486
10,LA Clippers,0.488
11,Indiana,0.491
12,Phoenix,0.49200000000000005
13,Utah,0.49700000000000005
14,Denver,0.498
15,Minnesota,0.498
16,New Orleans,0.499
17,Charlotte,0.5
18,Philadelphia,0.501
19,LA Lakers,0.502
20,Boston,0.502
21,Atlanta,0.503
22,Toronto,0.504
23,Golden State,0.504
24,New York,0.504
25,Portland,0.508
26,Sacramento,0.513
27,Okla City,0.515
28,Washington,0.516
29,Milwaukee,0.522
30,Memphis,0.529
