Rank,Team,Statistic
1,Indiana,0.466
2,Chicago,0.47100000000000003
3,Golden State,0.48100000000000004
4,San Antonio,0.484
5,Okla City,0.48700000000000004
6,LA Clippers,0.489
7,Houston,0.49
8,Portland,0.491
9,Charlotte,0.493
10,Toronto,0.494
11,Memphis,0.496
12,Phoenix,0.496
13,Denver,0.5
14,Washington,0.5
15,Orlando,0.504
16,Boston,0.505
17,Cleveland,0.508
18,Atlanta,0.509
19,Brooklyn,0.509
20,Sacramento,0.512
21,LA Lakers,0.513
22,New York,0.514
23,New Orleans,0.515
24,Miami,0.516
25,Dallas,0.517
26,Utah,0.518
27,Minnesota,0.518
28,Milwaukee,0.52
29,Detroit,0.52
30,Philadelphia,0.524
