Rank,Team,Statistic
1,Minnesota,0.513
2,Boston,0.522
3,Cleveland,0.527
4,Denver,0.529
5,Houston,0.53
6,Okla City,0.531
7,New Orleans,0.535
8,Phoenix,0.537
9,Milwaukee,0.54
10,Philadelphia,0.541
11,New York,0.541
12,Orlando,0.5429999999999999
13,LA Clippers,0.5429999999999999
14,Golden State,0.5429999999999999
15,Brooklyn,0.545
16,Miami,0.547
17,LA Lakers,0.5479999999999999
18,Memphis,0.5479999999999999
19,Dallas,0.5529999999999999
20,Chicago,0.556
21,Detroit,0.5579999999999999
22,Indiana,0.5589999999999999
23,Sacramento,0.5589999999999999
24,Portland,0.56
25,Toronto,0.561
26,San Antonio,0.562
27,Washington,0.5660000000000001
28,Utah,0.5670000000000001
29,Charlotte,0.57
30,Atlanta,0.5720000000000001
