Rank,Team,Statistic
1,Chicago,0.455
2,San Antonio,0.456
3,Miami,0.45799999999999996
4,Houston,0.462
5,Detroit,0.46299999999999997
6,Indiana,0.47
7,Memphis,0.47100000000000003
8,Minnesota,0.47200000000000003
9,Boston,0.478
10,Portland,0.479
11,Dallas,0.479
12,LA Clippers,0.48
13,Denver,0.48200000000000004
14,Phoenix,0.48200000000000004
15,Brooklyn,0.483
16,Orlando,0.484
17,Cleveland,0.485
18,Philadelphia,0.48700000000000004
19,Golden State,0.491
20,New Orleans,0.491
21,LA Lakers,0.493
22,Sacramento,0.494
23,Okla City,0.496
24,Charlotte,0.49700000000000005
25,Utah,0.499
26,Milwaukee,0.499
27,Washington,0.499
28,Toronto,0.499
29,New York,0.501
30,Atlanta,0.513
