Rank,Team,Statistic
1,Golden State,0.46799999999999997
2,Chicago,0.47100000000000003
3,Portland,0.47600000000000003
4,Indiana,0.478
5,Washington,0.48
6,San Antonio,0.486
7,Charlotte,0.48700000000000004
8,Milwaukee,0.488
9,Okla City,0.489
10,Atlanta,0.491
11,Houston,0.491
12,Utah,0.491
13,Memphis,0.493
14,Boston,0.494
15,LA Clippers,0.495
16,Cleveland,0.495
17,New Orleans,0.49700000000000005
18,Phoenix,0.49700000000000005
19,Philadelphia,0.49700000000000005
20,Detroit,0.502
21,Denver,0.504
22,Dallas,0.504
23,Miami,0.505
24,Brooklyn,0.506
25,Sacramento,0.507
26,Toronto,0.508
27,New York,0.512
28,Orlando,0.514
29,LA Lakers,0.518
30,Minnesota,0.537
