Rank,Team,Statistic
1,San Antonio,0.47600000000000003
2,Golden State,0.479
3,LA Clippers,0.48
4,Atlanta,0.48
5,Miami,0.48100000000000004
6,Indiana,0.485
7,Chicago,0.485
8,Boston,0.48700000000000004
9,Okla City,0.48700000000000004
10,New York,0.48700000000000004
11,Utah,0.495
12,Charlotte,0.498
13,Cleveland,0.499
14,Toronto,0.501
15,Portland,0.504
16,Detroit,0.506
17,Dallas,0.506
18,Philadelphia,0.51
19,Milwaukee,0.51
20,Orlando,0.513
21,Washington,0.515
22,Denver,0.515
23,Houston,0.518
24,Memphis,0.52
25,Sacramento,0.521
26,New Orleans,0.523
27,LA Lakers,0.523
28,Phoenix,0.523
29,Minnesota,0.524
30,Brooklyn,0.534
