Rank,Team,Statistic
1,Detroit,0.43700000000000006
2,San Antonio,0.43799999999999994
3,Minnesota,0.447
4,Houston,0.44799999999999995
5,Toronto,0.449
6,Indiana,0.45299999999999996
7,Brooklyn,0.455
8,Miami,0.461
9,New York,0.46299999999999997
10,Philadelphia,0.467
11,Utah,0.46799999999999997
12,LA Lakers,0.46799999999999997
13,Memphis,0.469
14,Chicago,0.469
15,Cleveland,0.469
16,New Orleans,0.47200000000000003
17,Golden State,0.47600000000000003
18,Atlanta,0.47600000000000003
19,Sacramento,0.479
20,Boston,0.48
21,Portland,0.48200000000000004
22,Phoenix,0.48200000000000004
23,Denver,0.483
24,Washington,0.486
25,Milwaukee,0.486
26,Okla City,0.48700000000000004
27,LA Clippers,0.494
28,Dallas,0.49700000000000005
29,Orlando,0.502
