Rank,Team,Statistic
1,Milwaukee,0.499
2,Toronto,0.505
3,Utah,0.508
4,Philadelphia,0.509
5,Miami,0.51
6,Golden State,0.51
7,Boston,0.512
8,Portland,0.514
9,Brooklyn,0.514
10,LA Lakers,0.516
11,Indiana,0.516
12,Denver,0.517
13,Orlando,0.517
14,LA Clippers,0.518
15,Memphis,0.521
16,Dallas,0.522
17,Houston,0.522
18,Okla City,0.523
19,San Antonio,0.527
20,Detroit,0.528
21,New Orleans,0.532
22,Sacramento,0.5329999999999999
23,New York,0.5329999999999999
24,Charlotte,0.5379999999999999
25,Minnesota,0.5379999999999999
26,Chicago,0.541
27,Atlanta,0.541
28,Phoenix,0.545
29,Washington,0.546
30,Cleveland,0.564
