Rank,Team,Statistic
1,Philadelphia,0.494
2,Boston,0.499
3,Golden State,0.5
4,Toronto,0.505
5,Utah,0.506
6,Portland,0.507
7,Miami,0.507
8,San Antonio,0.509
9,New Orleans,0.513
10,LA Lakers,0.514
11,Brooklyn,0.517
12,LA Clippers,0.52
13,New York,0.522
14,Houston,0.523
15,Washington,0.523
16,Detroit,0.524
17,Orlando,0.525
18,Okla City,0.525
19,Indiana,0.525
20,Milwaukee,0.526
21,Memphis,0.529
22,Dallas,0.532
23,Charlotte,0.532
24,Phoenix,0.5329999999999999
25,Atlanta,0.536
26,Cleveland,0.5379999999999999
27,Minnesota,0.539
28,Denver,0.539
29,Chicago,0.542
30,Sacramento,0.542
